Tên bài hát(file name),Định dạng,Ca sĩ (chính),Ca sĩ (phụ),Class,SCR,,,,,,,,,,,,,,
6262,.mp3,Low G,Low G,Low_G,../files/musics/Low G/6262.mp3,,,,,,,,,,,,,,
An Thần,.mp3,Low G,"Low G,Thắng",Low_G Thắng,../files/musics/Low G/An Thần.mp3,,,,,,,,,,,,,,
Bảo Tàng,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Bảo Tàng.mp3,,,,,,,,,,,,,,
Chán Gái 707 (live from GENfest 23),.mp3,Low G,Low G,Low_G,../files/musics/Low G/Chán Gái 707 (live from GENfest 23).mp3,,,,,,,,,,,,,,
Càng Cua,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Càng Cua.mp3,,,,,,,,,,,,,,
Có Em,.mp3,Low G,"Low G,Madihu",Low_G Madihu,../files/musics/Low G/Có Em.mp3,,,,,,,,,,,,,,
Có Khi (feat. Low G),.mp3,Low G,"Low G,Madihu",Low_G Madihu,../files/musics/Low G/Có Khi (feat. Low G).mp3,,,,,,,,,,,,,,
Dáng Xinh,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Dáng Xinh.mp3,,,,,,,,,,,,,,
DÂU TẰM,.mp3,Low G,"Low G,tlinh",Low_G tlinh,../files/musics/Low G/DÂU TẰM.mp3,,,,,,,,,,,,,,
FASHION TÁN GÁI,.mp3,Low G,Low G,Low_G,../files/musics/Low G/FASHION TÁN GÁI.mp3,,,,,,,,,,,,,,
HOP ON DA SHOW,.mp3,Low G,"Low G,tlinh",Low_G tlinh,../files/musics/Low G/HOP ON DA SHOW.mp3,,,,,,,,,,,,,,
Không Thích,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Không Thích.mp3,,,,,,,,,,,,,,
Không Yêu Em Thì Yêu Ai_,.mp3,Low G,"Low G,Vũ",Low_G Vũ,../files/musics/Low G/Không Yêu Em Thì Yêu Ai_.mp3,,,,,,,,,,,,,,
NGÂN,.mp3,Low G,"Low G,tlinh",Low_G tlinh,../files/musics/Low G/NGÂN.mp3,,,,,,,,,,,,,,
okeokeoke (Kriss Ngo Remix) (live from GENfest 23),.mp3,Low G,Low G,Low_G,../files/musics/Low G/okeokeoke (Kriss Ngo Remix) (live from GENfest 23).mp3,,,,,,,,,,,,,,
pho real,.mp3,Low G,"Low G,Anh Phan",Low_G Anh_Phan,../files/musics/Low G/pho real.mp3,,,,,,,,,,,,,,
PHÓNG ZÌN ZÌN,.mp3,Low G,"Low G,tlinh",Low_G tlinh,../files/musics/Low G/PHÓNG ZÌN ZÌN.mp3,,,,,,,,,,,,,,
Simp Gái 808,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Simp Gái 808.mp3,,,,,,,,,,,,,,
Tán Gái 505,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Tán Gái 505.mp3,,,,,,,,,,,,,,
Tán Gái 606 (Onionn. Remix) (live from GENfest 23),.mp3,Low G,Low G,Low_G,../files/musics/Low G/Tán Gái 606 (Onionn. Remix) (live from GENfest 23).mp3,,,,,,,,,,,,,,
Đơn Giản,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Đơn Giản.mp3,,,,,,,,,,,,,,
Phong Long,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Phong Long.mp3,,,,,,,,,,,,,,
Quá Sớm,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Quá Sớm.mp3,,,,,,,,,,,,,,
Tam Giác,.mp3,Low G,"Low G,Anh Phan",Low_G Anh_Phan,../files/musics/Low G/Tam Giác.mp3,,,,,,,,,,,,,,
Simple Cypher,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Simple Cypher.mp3,,,,,,,,,,,,,,
Flexin' Trên Circle K 2,.mp3,Low G,Low G,Low_G,../files/musics/Low G/Flexin' Trên Circle K 2.mp3,,,,,,,,,,,,,,
Người Đi Bao,.mp3,Low G,"Low G,tlinh",Low_G tlinh,../files/musics/Low G/Người Đi Bao.mp3,,,,,,,,,,,,,,
An Thần Không Tune,.mp3,Low G,Low G,Low_G,../files/musics/Low G/An Thần Không Tune.mp3,,,,,,,,,,,,,,
Tiếp Đất,.mp3,Low G,"Low G,Thắng",Low_G Thắng,../files/musics/Low G/Tiếp Đất.mp3,,,,,,,,,,,,,,
"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều).mp3",,,,,,,,,,,,,,
"HÍT _DRAMA_ (feat. Isaac, WEAN, Anh Tú & Đỗ Phú Quí)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/HÍT _DRAMA_ (feat. Isaac, WEAN, Anh Tú & Đỗ Phú Quí).mp3",,,,,,,,,,,,,,
"HÚT (feat. Lou Hoàng, Pháp Kiều, WEAN, Quân A.P, Hải Đăng Doo, Ali Hoàng Dương & Nicky)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/HÚT (feat. Lou Hoàng, Pháp Kiều, WEAN, Quân A.P, Hải Đăng Doo, Ali Hoàng Dương & Nicky).mp3",,,,,,,,,,,,,,
"I.C.O.N (feat. Isaac, HIEUTHUHAI, Đức Phúc, ERIK, Quân A.P, Quang Hùng MasterD, Lou Hoàng, Pháp Kiều, WEAN, Negav, Hải Đăng Doo, Gin Tuấn Kiệt, Ali Hoàng Dương, Nicky, Vũ Thịnh & Công Dương)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/I.C.O.N (feat. Isaac, HIEUTHUHAI, Đức Phúc, ERIK, Quân A.P, Quang Hùng MasterD, Lou Hoàng, Pháp Kiều, WEAN, Negav, Hải Đăng Doo, Gin Tuấn Kiệt, Ali Hoàng Dương, Nicky, Vũ Thịnh & Công Dương).mp3",,,,,,,,,,,,,,
"I'M THINKING ABOUT YOU (feat. RHYDER, WEAN, Đức Phúc, Hùng Huỳnh & tlinh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/I'M THINKING ABOUT YOU (feat. RHYDER, WEAN, Đức Phúc, Hùng Huỳnh & tlinh).mp3",,,,,,,,,,,,,,
KHIÊU VŨ DƯỚI TRĂNG (feat. ERIK),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/KHIÊU VŨ DƯỚI TRĂNG (feat. ERIK).mp3,,,,,,,,,,,,,,
"KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/KIM PHÚT, KIM GIỜ (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac).mp3",,,,,,,,,,,,,,
KIM TỰ THÁP (feat. CAPTAIN),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/KIM TỰ THÁP (feat. CAPTAIN).mp3,,,,,,,,,,,,,,
LÂU KHÔNG GẶP (feat. Song Luân & Tage),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/LÂU KHÔNG GẶP (feat. Song Luân & Tage).mp3,,,,,,,,,,,,,,
Laviu,.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/Laviu.mp3,,,,,,,,,,,,,,
"LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/LOVE SAND (feat. HIEUTHUHAI, JSOL, Ali Hoàng Dương & Vũ Thịnh).mp3",,,,,,,,,,,,,,
"NGÂN NGA (feat. Isaac, HURRYKNG, Negav, Gin Tuấn Kiệt & Vũ Thảo My)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NGÂN NGA (feat. Isaac, HURRYKNG, Negav, Gin Tuấn Kiệt & Vũ Thảo My).mp3",,,,,,,,,,,,,,
"NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NGÁO NGƠ (feat. HIEUTHUHAI, ERIK, Anh Tú Atus, JSOL & Orange).mp3",,,,,,,,,,,,,,
"NGƯỜI TÌNH CỦA NẮNG (feat. Anh Tú, Captain, Hải Đăng Doo, Vũ Thịnh & LyLy)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NGƯỜI TÌNH CỦA NẮNG (feat. Anh Tú, Captain, Hải Đăng Doo, Vũ Thịnh & LyLy).mp3",,,,,,,,,,,,,,
"NO FAR, NO STAR (feat. Song Luân, RHYDER, HURRYKNG, Captain, Đỗ Phú Quí & Tage)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NO FAR, NO STAR (feat. Song Luân, RHYDER, HURRYKNG, Captain, Đỗ Phú Quí & Tage).mp3",,,,,,,,,,,,,,
"NỖI ĐAU NGÂY DẠI (feat. HIEUTHUHAI, Đức Phúc & Công Dương)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NỖI ĐAU NGÂY DẠI (feat. HIEUTHUHAI, Đức Phúc & Công Dương).mp3",,,,,,,,,,,,,,
QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI).mp3,,,,,,,,,,,,,,
